,id,cat_id,cat_name,year,placement
9152,247314,75370,Palme de Bronze for Best Educational Game,2019,Game
9188,31260,12667,International Gamers Awards - General Strategy; Multi-player,2008,Multi-player
9264,7717,12963,International Gamers Award - General Strategy: Two-players,2004,Two-players
9271,7742,12618,Fall Lucca Games Best Translated Game,1999,Game
9723,148228,38349,Vuoden Peli Adult Game of the Year,2014,Year
9781,2453,13371,Australian Games Association Game of the Year,2003,Year
9817,2562,12525,Lucca Games Best Translated Game,2002,Game
9823,2596,13308,Tric Trac d'Or (Best Children's Game),2001,Game)
9890,21050,12966,International Gamers Award - General Strategy: Two-players,2007,Two-players
10000,15511,12964,International Gamers Award - General Strategy: Two-players,2005,Two-players
10001,15511,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Beginners
10005,15512,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Beginners
10218,212402,75378,Palme d'Or for Best Illustrations,2020,Illustrations
10219,212402,75355,Palme de Bronze for Best Family Game,2020,Game
10297,301767,75380,Palme d'Argent for Best Illustrations,2021,Illustrations
10354,3685,12733,International Gamers Awards - Historical Simulation,2003,Simulation
10393,268952,75386,Palme d'Argent for Best Game Designed in Québec,2020,Québec
10431,7854,12963,International Gamers Award - General Strategy: Two-players,2004,Two-players
10523,3955,12524,Lucca Games Best Original Game,2002,Game
10579,12841,12627,Fall Lucca Games Best Original Game,1997,Game
10602,12995,12964,International Gamers Award - General Strategy: Two-players,2005,Two-players
10605,12995,12503,Lucca Games Best Game Mechanics,2006,Mechanics
10608,286549,75373,Palme de Bronze for Best Educational Game,2021,Game
10659,27389,13367,Australian Games Association Game of the Year,2006,Year
10699,18602,12714,International Gamers Awards - General Strategy; Multi-player,2006,Multi-player
10711,18723,12510,Lucca Games Best Original Game,2005,Game
10779,267359,75383,Palme d'Argent for Best Game Designed in Québec,2019,Québec
10781,267378,75377,Palme d'Argent for Best Illustrations,2020,Illustrations
10830,45986,12969,International Gamers Award - General Strategy: Two-players,2010,Two-players
10838,252929,75358,Palme d'Argent for Best Family Game,2019,Game
10883,246784,75354,Palme d'Or for Best Family Game,2020,Game
11142,254640,75359,Palme d'Argent for Best Party Game,2019,Game
11184,36932,12969,International Gamers Award - General Strategy: Two-players,2010,Two-players
11208,83092,10356,Gra Roku Wargame of the Year,2010,Year
11268,54043,12969,International Gamers Award - General Strategy: Two-players,2010,Two-players
11447,6487,12628,Fall Lucca Games Best Translated Game,1997,Game
11449,6508,12963,International Gamers Award - General Strategy: Two-players,2004,Two-players
11459,6542,12732,International Gamers Awards - Historical Simulation,2004,Simulation
11501,267475,75360,Palme d'Or for Best Party Game,2019,Game
11608,25071,12479,Lucca Games Best Card Game,2008,Game
11758,50,12728,International Gamers Awards - General Strategy; Two-players,2000,Two-players
11759,50,12959,International Gamers Awards - General Strategy; Two-players,2000,Two-players
11767,54,12720,International Gamers Awards - General Strategy; Multi-player,2000,Multi-player
11810,91,12736,International Gamers Awards - Historical Simulation,2000,Simulation
11863,135,12959,International Gamers Awards - General Strategy; Two-players,2000,Two-players
11887,173,12629,Fall Lucca Games Best Translated Game,1997,Game
11927,4154,27222,Origins Awards Best Collectible Card Game,2014,Game
11929,4192,12635,Fall Lucca Games Best Translated Game,1996,Game
11977,27588,13366,Australian Games Association Game of the Year,2007,Year
12073,206175,75369,Palme d'Or for Best Educational Game,2019,Game
12086,243538,75384,Palme d'Or for Best Game Designed in Québec,2019,Québec
12102,102680,65332,Lucca Games Best Boardgame for Experts,2012,Experts
12307,13551,12516,Lucca Games Best Original Game,2004,Game
12349,27162,12488,Lucca Game Best Boardgame,2007,Boardgame
12487,463,12643,Fall Lucca Games Best Translated Game,1994,Game
12516,490,12531,Lucca Games Best Original Game,2000,Game
12540,528,12960,International Gamers Award - General Strategy: Two-players,2001,Two-players
12557,551,12727,International Gamers Awards - General Strategy; Two-players,2001,Two-players
12559,553,12501,Lucca Games Best Card Game,2006,Game
12565,555,12719,International Gamers Awards - General Strategy; Multi-player,2001,Multi-player
12567,555,12492,Lucca Game Best Game Mechanics,2007,Mechanics
12678,8476,12527,Lucca Games Best Original Game,2001,Game
12940,25417,12966,International Gamers Award - General Strategy: Two-players,2007,Two-players
12943,25420,12500,Lucca Games Best Boardgame,2006,Boardgame
13051,11170,12511,Lucca Games Best Translated Game,2005,Game
13088,6187,12962,International Gamers Award - General Strategy: Two-players,2003,Two-players
13273,10989,12966,International Gamers Award - General Strategy: Two-players,2007,Two-players
13302,25292,14614,Lucca Games Best Boardgame for Experts,2011,Experts
13359,46255,12661,International Gamers Award - General Strategy: Two-player,2010,Two-player
13574,274841,75389,Palme d'Argent for Best Game Designed in Québec,2021,Québec
13650,269210,75353,Palme d'Argent for Best Family Game,2020,Game
13661,34871,14614,Lucca Games Best Boardgame for Experts,2011,Experts
13776,20609,12669,International Gamers Awards - Historical Simulation,2008,Simulation
13852,26859,12491,Lucca Game Best Family Game,2007,Game
13918,13308,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Beginners
13962,226,12959,International Gamers Awards - General Strategy; Two-players,2000,Two-players
13966,232,12634,Fall Lucca Games Best Original Game,1996,Game
14000,295,12620,Fall Lucca Games Best Original Game,1998,Game
14031,352,13391,Games Magazine - Game of the year,1991,year
14039,372,12959,International Gamers Awards - General Strategy; Two-players,2000,Two-players
14111,4396,12962,International Gamers Award - General Strategy: Two-players,2003,Two-players
